receipt_id,purchased_at,customer_id,store_code,till_number
89,2021-01-25,10449,3,8
90,2021-04-15,4553,2,1
91,2020-12-11,3464,0,2
92,2021-03-27,15628,2,2
94,2020-10-26,12055,2,3
95,2021-08-15,4243,2,6
96,2021-03-30,8451,0,5
97,2021-12-19,4783,1,2
98,2022-03-13,15508,2,7
99,2021-06-08,15224,2,1
100,2021-09-24,13242,1,2
101,2020-08-09,11238,0,5
102,2021-03-31,6246,0,2
103,2020-10-08,7439,3,7
104,2021-09-21,10604,2,6
105,2021-05-08,752,2,5
106,2020-09-19,1761,2,9
107,2021-01-28,16221,1,1
108,2021-10-03,11822,3,5
109,2020-11-19,6873,3,5
110,2021-11-05,1771,2,4
111,2021-06-10,11667,3,6
112,2021-09-17,11791,3,1
113,2021-12-18,6681,3,2
114,2020-12-17,4802,2,2
115,2020-09-08,15887,0,1
116,2020-11-13,15201,3,5
117,2020-08-17,15405,2,1
118,2020-12-24,319,2,5
119,2021-07-12,12765,2,5
120,2021-06-30,10461,0,1
121,2020-11-07,3040,3,2
122,2021-05-19,7766,3,4
123,2022-01-18,2000,1,4
124,2021-09-23,13360,0,1
125,2021-12-24,34,2,5
126,2022-02-15,2328,0,2
127,2021-12-10,7704,2,3
128,2021-11-02,4368,3,4
129,2021-09-23,13792,2,6
130,2021-07-11,5552,3,2
131,2022-02-17,14068,2,1
132,2020-10-06,6383,0,2
133,2021-03-12,13562,0,6
134,2022-02-27,10294,3,4
135,2022-03-15,6332,3,5
136,2021-08-02,9325,2,1
137,2021-07-30,6284,3,4
138,2020-12-08,12979,0,1
139,2020-09-05,4609,0,2
140,2022-01-08,11791,3,1
141,2020-09-22,2914,2,3
142,2021-02-18,15442,0,1
143,2021-04-18,11811,0,4
144,2021-01-06,11588,1,1
145,2022-02-08,8451,0,5
146,2021-01-14,5927,0,3
147,2020-12-16,12692,1,6
148,2022-02-24,4862,3,3
149,2021-05-22,12222,0,4
150,2021-10-05,9816,3,4
151,2021-11-04,1272,0,5
152,2021-12-30,3567,1,2
153,2020-08-22,8343,3,6
154,2021-07-26,9816,3,5
155,2021-01-31,11310,1,2
156,2022-03-20,9736,3,10
157,2021-08-10,8451,0,4
158,2020-11-04,14852,3,3
159,2021-01-21,9202,2,7
160,2022-01-27,962,3,4
161,2020-11-25,13728,3,5
162,2021-09-28,14700,3,2
163,2021-10-11,11991,1,1
164,2021-08-08,8313,1,7
165,2020-10-10,2046,3,1
166,2021-02-03,6912,2,3
167,2021-08-19,12802,2,4
168,2022-02-10,1272,0,7
169,2022-03-01,12263,3,6
170,2020-10-07,16290,3,1
171,2021-10-02,12543,2,2
172,2021-02-28,16242,1,3
173,2021-10-16,7081,3,4
174,2020-11-22,1926,3,1
175,2020-12-14,9223,3,2
176,2021-02-20,3533,0,10
177,2020-11-08,6802,3,3
178,2021-12-03,5963,2,1
179,2021-02-17,7365,3,3
180,2020-09-20,8451,0,4
181,2020-08-18,11994,2,1
182,2022-01-29,9551,2,2
183,2021-04-27,1763,0,5
184,2020-12-19,12627,0,5
185,2020-09-12,12667,3,3
186,2021-12-01,5768,1,2
187,2021-05-20,4267,0,2
188,2021-05-05,3986,2,1
189,2021-09-02,1771,2,4
191,2021-09-03,12141,1,6
192,2021-07-10,8893,3,1
193,2021-03-23,6862,2,2
194,2021-05-31,9985,1,7
195,2021-11-15,12765,2,6
198,2021-11-05,8027,0,4
199,2022-02-24,2914,2,6
200,2021-03-09,12050,3,2
201,2020-11-12,11962,3,7
202,2021-04-28,762,1,2
203,2020-08-01,14032,0,5
204,2020-11-25,11780,3,3
205,2021-05-28,5199,2,5
206,2021-12-26,9919,0,3
207,2020-10-14,14852,3,3
208,2020-11-23,16026,0,4
209,2021-03-27,2590,0,3
210,2021-06-09,9351,2,3
211,2020-11-08,8481,1,4
212,2020-08-12,13586,0,4
213,2020-09-15,7439,3,3
214,2021-07-03,5426,2,2
215,2021-03-01,7059,3,7
216,2021-06-08,12376,3,8
217,2022-01-26,3656,2,2
218,2021-01-15,14226,2,1
219,2022-03-14,15366,3,3
220,2021-11-20,16242,1,9
221,2021-06-12,11280,0,2
222,2020-12-13,7086,1,2
223,2021-01-08,15141,0,2
224,2021-01-27,8451,0,3
225,2021-06-12,9514,2,3
226,2020-07-23,9613,2,1
227,2021-09-04,8451,0,4
229,2021-08-19,1933,0,10
230,2022-02-16,12528,0,3
231,2020-11-27,7472,0,7
232,2022-02-08,9512,3,2
233,2021-07-22,1771,2,4
234,2021-01-21,5836,0,2
236,2021-03-07,8799,3,4
237,2020-10-26,2140,0,2
238,2021-08-25,207,3,3
239,2021-11-07,1008,1,1
240,2020-10-18,8313,1,3
241,2021-02-26,12050,3,2
242,2020-08-05,11313,0,6
243,2021-12-13,9028,3,3
244,2021-02-05,5615,3,3
245,2021-12-19,7183,1,1
246,2021-09-12,9141,3,2
247,2021-07-14,3656,2,3
248,2021-10-22,13102,1,3
249,2021-05-03,14364,0,3
250,2022-02-18,14032,0,1
251,2022-02-24,9551,2,2
252,2020-11-13,7334,1,2
253,2021-02-21,8233,2,9
254,2020-09-11,7439,3,4
255,2021-09-04,9551,2,2
256,2020-10-07,14364,0,1
257,2020-12-01,8821,3,4
258,2021-11-06,8233,2,9
259,2022-01-14,2280,0,7
260,2021-11-24,7496,2,2
261,2021-05-04,2059,0,4
262,2021-12-10,13639,0,1
263,2020-09-29,3531,0,2
264,2021-12-20,14131,2,4
265,2021-04-06,12042,3,2
266,2021-11-20,15767,0,4
267,2021-01-13,13242,1,2
268,2020-12-04,15619,0,1
269,2020-08-31,101,2,5
270,2021-06-10,2334,3,3
271,2022-02-20,9453,3,5
272,2021-11-29,3549,3,1
273,2021-02-18,2039,3,4
274,2022-02-15,16270,0,4
275,2020-11-09,14413,3,2
276,2020-07-31,5664,2,3
277,2020-09-21,13017,2,1
278,2021-04-28,12124,0,4
279,2022-03-13,2817,0,6
280,2021-12-18,14714,0,4
281,2020-08-02,12124,0,7
282,2020-10-21,12173,1,5
283,2022-02-23,224,3,9
284,2021-02-19,7585,2,1
285,2021-11-19,995,3,8
286,2020-11-29,16290,3,4
287,2021-05-26,7472,0,6
288,2021-08-25,13151,3,1
289,2021-01-27,9128,2,9
290,2021-02-27,12528,0,2
291,2022-03-22,14068,2,1
292,2021-07-22,11495,1,3
293,2021-09-13,1771,2,4
294,2020-09-24,11163,0,1
295,2020-08-20,9828,0,1
296,2021-03-14,15653,0,12
297,2021-11-11,9537,3,3
298,2020-11-10,319,2,6
299,2021-05-05,2693,3,1
300,2021-06-28,4971,3,1
301,2021-09-29,3704,2,5
302,2020-11-29,3549,3,4
303,2022-02-17,1502,0,11
304,2020-11-17,15887,0,1
305,2020-08-31,14799,0,1
306,2021-04-28,15449,3,1
307,2022-02-21,4047,2,5
308,2021-10-27,1771,2,4
309,2021-12-16,1142,0,2
310,2020-09-24,8799,3,4
311,2021-02-28,1722,0,2
312,2022-03-10,2315,3,1
313,2020-10-03,3921,3,5
314,2021-01-06,16221,1,1
315,2021-02-13,6862,2,1
316,2022-02-22,842,0,4
317,2022-02-03,8799,3,1
318,2021-06-21,9202,2,3
319,2020-09-20,9551,2,2
320,2022-01-10,12528,0,2
321,2021-04-20,15056,0,1
322,2021-02-01,9816,3,3
323,2021-07-23,9357,0,2
324,2020-11-25,1763,0,2
325,2020-09-07,5024,3,1
326,2021-09-07,10040,2,1
327,2021-05-10,7934,2,4
328,2021-10-24,11371,3,2
329,2020-12-13,1722,0,2
330,2020-10-28,1774,1,2
331,2020-08-31,7489,2,1
332,2021-01-20,11667,0,6
333,2020-12-05,4609,0,3
334,2020-11-27,3567,1,4
335,2021-09-30,4243,2,5
336,2021-05-03,1866,3,6
337,2021-01-12,9816,3,4
338,2021-04-25,15133,2,4
339,2021-09-22,11006,2,4
340,2021-01-20,9865,0,3
341,2020-09-05,8451,0,5
342,2021-03-26,9613,2,1
343,2020-09-13,3549,3,4
344,2021-09-13,15887,0,1
345,2020-11-17,9698,2,1
346,2021-06-02,7704,2,3
347,2021-12-16,13773,0,8
348,2022-01-06,1005,3,4
349,2021-03-26,1763,0,6
350,2020-12-25,13337,3,3
351,2021-11-20,15675,0,2
352,2020-11-12,3607,1,1
353,2021-06-01,6524,0,1
354,2020-12-26,3232,3,4
355,2020-12-14,15340,1,5
356,2021-11-08,14936,2,5
357,2022-01-27,6748,2,3
358,2021-04-16,7732,2,1
359,2022-02-23,7334,1,3
360,2020-12-14,5927,0,3
361,2020-10-28,3921,3,1
362,2021-11-02,15526,3,1
363,2021-11-15,9613,2,1
364,2022-02-22,286,1,4
365,2021-05-18,9828,0,5
366,2021-01-02,10383,3,5
367,2020-12-31,13262,2,2
368,2020-12-14,7649,3,3
369,2021-05-02,9154,1,1
370,2020-10-18,12528,0,2
371,2020-11-03,15929,3,2
372,2021-02-12,16208,2,4
373,2020-10-22,11310,1,3
374,2022-02-24,15675,3,1
375,2021-07-27,1885,3,5
376,2021-01-01,12055,2,1
377,2021-02-16,8799,3,5
378,2022-03-17,6573,3,3
379,2021-06-09,8451,0,3
380,2021-08-18,14131,2,8
381,2021-06-11,6640,2,3
382,2020-11-25,9498,1,4
383,2021-03-19,16221,1,1
384,2021-12-14,7560,3,2
385,2021-03-12,9545,2,2
386,2021-08-04,9587,3,3
387,2021-10-30,10594,2,2
388,2021-01-31,1722,0,3
389,2022-02-05,3091,1,1
390,2022-03-10,3853,2,2
391,2021-07-04,10240,0,2
392,2021-01-26,13262,2,1
393,2022-03-18,13379,0,3
394,2020-08-16,709,3,3
395,2021-01-18,6781,1,6
396,2021-05-06,3921,3,1
397,2021-01-02,15781,2,5
400,2021-11-24,15722,0,1
401,2020-07-24,12094,0,8
402,2022-02-11,9778,3,3
403,2021-08-11,7439,3,3
404,2022-03-12,3137,3,1
405,2021-09-14,1763,0,6
406,2021-03-24,6378,0,2
408,2021-03-23,14364,0,4
409,2022-02-04,3549,3,4
410,2020-07-28,14104,0,6
411,2020-07-27,5728,3,1
413,2021-08-09,14131,2,4
414,2021-07-11,6000,3,2
415,2021-12-18,12934,3,2
416,2021-04-09,10253,0,2
417,2021-05-07,3986,2,8
419,2021-03-04,15781,2,5
420,2021-09-08,1378,3,4
421,2020-09-08,9189,3,7
422,2022-03-11,12256,1,9
423,2021-03-27,5900,3,3
424,2021-06-25,13603,0,1
425,2021-04-17,12291,3,3
426,2022-01-28,6912,2,2
427,2021-08-27,12575,3,1
428,2021-06-24,3791,2,5
429,2021-11-02,1282,2,1
430,2021-04-22,2137,0,4
431,2021-05-15,10604,2,2
432,2021-12-29,12933,0,4
433,2021-04-04,9865,0,3
434,2020-11-23,9551,2,3
435,2021-09-28,3567,1,4
436,2021-04-14,11495,1,1
437,2021-02-10,223,2,1
438,2020-12-30,15975,3,2
439,2020-12-14,1763,0,3
440,2021-12-05,11661,1,5
441,2022-02-04,6912,2,3
442,2021-04-01,6254,2,3
443,2021-01-03,10837,2,2
444,2021-08-16,10604,2,11
445,2021-01-24,13899,0,4
446,2021-07-31,5828,2,4
447,2021-07-04,4852,0,1
448,2021-01-30,11619,2,3
449,2020-09-23,14217,2,1
450,2021-11-06,2122,1,1
451,2021-05-30,2893,0,4
452,2020-12-12,1343,0,5
453,2020-09-01,15887,0,1
454,2021-08-13,10255,3,2
455,2020-12-21,14217,2,5
456,2021-08-05,1455,3,4
457,2022-03-09,8370,2,2
458,2021-05-31,1771,2,3
459,2021-04-05,2006,3,13
460,2022-01-18,15722,0,3
461,2021-11-24,8958,2,3
462,2021-09-19,11791,3,2
463,2020-09-18,4108,3,4
464,2021-07-06,3624,3,1
465,2020-08-01,5977,3,1
466,2020-08-16,11605,2,3
467,2021-01-02,7337,3,2
468,2022-03-20,9157,2,10
469,2020-08-01,5078,0,2
470,2020-09-05,1933,0,4
471,2020-12-30,5301,3,5
472,2022-03-20,2000,1,3
473,2020-11-03,8799,3,4
474,2021-12-21,13262,2,2
475,2020-12-21,10604,2,1
476,2021-05-31,1113,1,3
477,2021-11-08,12655,2,1
478,2021-12-07,15768,2,2
479,2021-09-07,13644,2,1
480,2020-10-13,13721,3,3
481,2021-07-16,13818,2,3
482,2021-08-16,2914,2,4
483,2021-08-03,11076,3,4
484,2021-06-05,9660,1,12
485,2021-01-30,10604,2,2
486,2021-03-24,3219,2,1
487,2021-12-27,7650,1,2
488,2021-02-15,3618,0,2
489,2020-12-04,12124,0,6
490,2021-01-31,3921,3,3
491,2020-09-11,7931,0,2
492,2021-12-14,1623,3,4
493,2020-12-10,13911,3,4
494,2020-08-10,9675,2,1
495,2021-05-19,1353,3,5
496,2020-11-20,13898,3,1
497,2021-07-25,7012,3,2
498,2022-03-09,10263,2,4
499,2020-09-18,3202,3,6
500,2022-01-01,8440,3,3
501,2021-04-13,12232,0,3
502,2020-09-25,319,2,4
503,2021-03-20,8184,1,3
505,2021-01-23,8768,3,2
506,2022-01-13,7704,2,3
507,2021-11-28,11342,1,3
508,2020-10-18,5836,0,3
509,2020-09-29,12263,3,6
510,2021-03-10,15314,2,2
511,2021-03-30,12730,3,5
512,2021-01-25,12597,3,3
513,2021-12-24,16270,0,7
514,2021-04-27,16208,2,4
515,2022-01-25,9551,2,1
516,2022-02-22,7012,3,2
517,2020-08-10,15274,0,3
518,2021-05-25,13270,0,2
519,2020-11-11,6136,3,6
520,2022-01-14,8799,3,5
521,2021-07-24,11820,1,3
522,2021-09-10,5956,2,3
523,2022-01-08,13353,2,1
524,2020-08-06,15730,0,3
525,2021-01-14,5139,3,1
526,2021-06-10,11765,3,6
527,2021-06-06,10341,3,2
528,2021-12-16,7012,3,2
529,2021-05-15,11406,0,7
530,2020-09-30,5918,3,1
531,2020-08-29,8688,3,1
532,2020-09-29,4265,2,4
533,2021-01-24,7098,2,7
534,2021-04-12,11280,0,2
535,2021-05-20,13050,3,1
536,2021-08-08,13006,0,7
537,2021-04-01,15228,0,1
538,2021-06-14,9154,1,3
539,2020-11-10,3012,0,6
540,2021-01-26,13006,0,12
541,2021-12-26,8570,3,5
542,2020-11-01,12655,2,1
543,2021-05-15,7188,3,1
544,2021-05-22,1353,3,5
545,2020-12-10,14247,2,2
546,2020-11-25,3810,0,5
547,2021-09-10,8844,0,3
548,2020-09-25,6136,3,6
549,2021-01-31,11605,2,3
550,2020-10-18,10251,0,4
551,2020-12-22,9981,0,8
552,2021-05-27,11448,0,8
553,2020-09-11,8544,3,5
554,2022-03-03,16221,1,1
555,2021-09-27,13353,2,6
556,2021-10-21,10441,1,3
557,2021-04-13,12415,0,1
558,2021-10-19,6192,3,6
559,2020-10-12,7333,3,4
560,2021-03-24,6254,2,2
561,2020-08-17,12798,2,11
562,2020-11-29,5078,0,1
563,2021-02-15,13726,3,8
564,2020-08-08,10604,2,12
565,2021-05-23,12713,1,2
566,2021-12-12,10417,1,1
567,2021-03-18,1792,0,2
568,2021-10-20,16221,1,2
569,2020-09-06,10839,3,3
570,2022-02-27,3494,3,3
571,2021-03-13,14397,3,1
572,2021-07-22,10230,0,2
573,2020-08-04,263,2,1
574,2022-03-20,1008,1,1
575,2021-04-05,13830,1,2
576,2022-01-09,11342,1,2
577,2021-02-11,7264,0,5
578,2021-03-05,8799,3,4
579,2022-02-25,15567,1,5
580,2021-11-02,5398,0,1
581,2020-08-07,13155,0,7
582,2021-04-10,14615,3,4
583,2021-11-28,6284,3,7
584,2020-07-27,3445,2,3
585,2021-01-16,10604,2,2
586,2020-10-04,8799,3,4
587,2020-10-25,6912,2,3
588,2021-04-10,1771,2,4
589,2020-08-08,424,3,8
591,2021-01-02,5963,2,2
592,2021-04-19,11006,2,4
593,2021-02-03,1763,0,5
594,2021-10-13,3598,2,3
595,2022-02-23,16306,3,5
596,2021-03-16,16290,3,1
597,2021-02-05,11006,2,4
598,2021-08-06,11581,3,5
599,2020-08-04,14032,0,13
600,2021-11-05,15486,3,5
601,2020-11-08,10404,1,3
602,2020-08-05,4792,3,2
603,2020-11-05,1654,1,8
604,2022-01-03,6689,0,1
605,2021-08-28,9640,3,5
606,2020-08-12,14174,2,4
607,2020-11-24,5440,1,3
608,2021-10-29,13006,0,9
609,2021-03-23,9410,3,2
610,2020-12-07,9202,2,1
611,2021-07-06,13457,0,5
612,2021-08-23,8619,3,2
613,2022-02-23,11290,3,3
614,2020-11-17,8079,3,2
615,2021-01-25,7086,1,1
616,2021-08-27,15278,1,7
617,2021-11-19,5927,0,3
618,2021-06-19,12555,0,8
619,2021-10-03,7472,0,2
620,2021-01-21,1814,0,6
621,2020-08-18,10084,3,9
622,2021-02-18,8451,0,6
623,2021-12-14,6725,3,1
624,2020-12-28,5859,2,1
625,2021-06-20,342,0,1
626,2021-09-10,3013,3,3
627,2021-01-30,9157,2,7
628,2021-04-02,12566,3,7
629,2021-06-06,1480,2,1
630,2021-04-03,5651,1,3
631,2022-02-08,8096,2,2
632,2020-11-21,2573,2,2
633,2020-09-28,10604,2,3
634,2021-06-23,15442,0,1
635,2021-07-30,4058,2,3
636,2021-07-23,6912,2,2
637,2021-05-25,10883,1,1
638,2020-11-17,5955,0,3
639,2021-07-31,1227,0,3
640,2022-01-26,985,3,3
641,2020-08-14,10005,2,3
642,2020-09-10,2447,3,1
643,2021-04-04,12494,3,6
644,2021-09-22,5232,2,2
645,2021-09-10,10274,2,6
646,2022-02-27,15567,0,5
647,2020-10-17,14918,3,2
648,2021-10-11,15228,0,1
649,2021-08-13,16026,0,4
650,2022-01-03,1916,3,1
651,2021-12-25,4838,3,6
652,2021-05-18,1771,2,5
653,2021-08-30,3791,2,5
654,2021-02-16,6254,2,3
655,2021-01-01,4134,3,8
656,2020-11-02,8799,3,5
657,2020-12-20,457,3,8
658,2021-04-27,13262,2,2
659,2021-03-10,15975,3,6
660,2020-11-15,2734,2,1
661,2021-09-14,5716,1,2
662,2022-02-09,3091,1,4
663,2021-05-19,6709,1,1
664,2021-05-20,10604,2,9
665,2020-10-10,9545,2,6
666,2021-07-30,6383,0,2
667,2021-12-16,1142,2,8
668,2021-12-02,16192,3,8
669,2022-03-04,1502,0,7
670,2021-09-01,1761,3,9
671,2021-06-27,9855,1,1
672,2020-09-10,11561,0,2
673,2022-02-18,7807,2,1
674,2021-01-14,5271,1,4
675,2021-01-20,4847,1,2
676,2021-09-27,10438,2,1
677,2020-11-18,12459,0,2
678,2021-04-14,16082,3,5
679,2022-01-07,12256,1,9
680,2021-03-03,14040,0,3
681,2020-08-02,5058,2,1
682,2021-01-01,14607,0,8
683,2021-01-06,2735,3,4
684,2021-05-17,11811,0,6
685,2021-08-11,12765,2,2
686,2021-08-15,8844,0,3
687,2022-01-31,11767,0,4
688,2020-12-26,738,3,5
689,2021-06-17,2817,0,8
690,2022-01-19,2000,1,4
691,2021-05-31,7347,1,4
692,2021-06-03,14580,1,4
693,2021-03-16,1960,3,4
694,2021-04-25,6726,2,1
695,2021-12-11,2338,2,3
696,2022-02-03,13360,0,1
697,2021-05-07,15228,0,2
698,2020-07-29,14918,3,2
699,2022-03-15,10268,3,2
700,2022-03-04,11667,3,10
701,2020-12-26,767,3,9
702,2021-08-24,11693,3,4
703,2021-11-17,11751,3,6
704,2022-03-22,10441,1,1
705,2021-01-14,12655,2,1
706,2020-11-29,13006,0,8
707,2022-03-01,15498,2,2
708,2020-11-29,13908,3,6
709,2020-08-06,9828,0,1
710,2021-01-28,11236,0,1
711,2021-05-05,14700,3,3
712,2021-08-30,9551,2,3
713,2022-03-22,4664,0,3
714,2022-01-08,11342,1,2
715,2020-10-21,8799,3,5
716,2020-08-10,12124,0,3
717,2020-09-04,13151,3,2
718,2021-02-25,12765,2,1
719,2020-10-04,11433,0,3
720,2020-07-29,7934,2,3
721,2020-09-02,7084,3,2
722,2021-12-24,11332,0,1
723,2020-11-11,14990,3,9
724,2021-11-14,8037,0,3
725,2021-05-05,319,2,6
726,2021-02-07,4097,1,4
727,2021-09-09,15974,0,4
728,2022-03-06,12417,1,5
729,2021-05-26,2963,3,7
730,2021-03-12,6281,3,1
731,2020-11-04,8864,2,2
732,2020-09-01,4664,0,4
733,2022-02-16,5688,3,1
734,2020-10-13,4273,3,1
735,2021-12-11,11342,1,1
736,2021-05-23,13290,3,6
738,2021-03-02,9882,3,2
739,2021-03-15,14580,1,5
740,2021-05-23,11791,3,1
741,2022-03-08,5369,2,12
742,2021-11-23,286,1,4
744,2020-07-24,3704,2,10
745,2021-09-28,8643,1,2
746,2021-04-21,2538,1,12
747,2021-09-03,12042,3,1
748,2021-07-17,15146,0,6
749,2021-12-26,3095,1,2
750,2020-11-26,15367,0,5
751,2021-09-25,8799,3,5
752,2021-06-21,1229,3,1
753,2020-11-05,15314,2,4
754,2021-12-05,14032,0,9
755,2021-12-10,10005,2,4
756,2021-05-08,7934,2,3
757,2021-04-10,7472,0,6
758,2022-03-22,16221,1,2
759,2021-09-19,9157,2,9
760,2021-09-29,10441,1,1
762,2021-10-10,2736,0,8
763,2020-12-08,12567,3,3
764,2021-10-31,15308,1,1
765,2020-09-24,9422,0,5
766,2021-04-03,7649,3,4
767,2020-09-12,8799,3,5
768,2021-08-11,13721,3,3
769,2021-10-16,6752,1,2
770,2021-01-08,15730,0,3
771,2021-07-18,9994,2,3
772,2021-01-07,12135,1,3
773,2020-07-30,6947,3,4
774,2020-09-03,4553,2,2
775,2022-03-08,10441,1,1
776,2021-05-27,15637,0,3
777,2021-02-26,207,3,3
778,2020-07-30,13050,3,2
779,2021-10-06,13004,0,3
780,2021-02-03,144,0,2
781,2021-07-28,16270,0,4
782,2021-04-30,9514,2,5
783,2020-09-01,15066,3,5
784,2022-02-27,11342,1,2
785,2020-09-19,8799,3,4
787,2020-12-02,13158,2,5
788,2021-04-06,4838,1,5
789,2021-01-08,7301,3,3
790,2020-11-26,5410,2,5
791,2022-01-11,6681,3,4
792,2022-01-04,6383,0,2
793,2021-04-12,7821,0,2
794,2021-03-27,6726,2,4
795,2021-04-28,10509,3,3
796,2021-01-28,1771,2,5
797,2021-08-16,4882,0,1
798,2021-04-23,9979,2,1
799,2021-06-23,11406,0,7
800,2021-10-28,5416,2,5
801,2020-11-28,4664,0,4
802,2020-11-20,4227,0,1
803,2022-01-30,6493,2,2
804,2022-02-24,15336,0,5
806,2021-04-19,12102,2,2
807,2020-11-23,5927,0,3
808,2021-01-28,9441,3,5
809,2022-01-20,14412,3,4
811,2021-05-13,10604,2,8
812,2020-10-25,4502,2,2
813,2021-07-26,2447,3,6
814,2020-12-18,9669,0,7
815,2021-01-21,15109,3,2
816,2020-08-19,4476,3,2
817,2021-02-08,8184,2,1
818,2020-10-04,752,2,3
819,2022-01-16,3791,1,1
820,2021-02-24,3502,0,7
821,2021-02-20,9855,1,1
822,2021-11-01,5329,2,6
823,2021-01-10,12357,2,5
824,2022-02-11,15197,3,4
826,2021-11-07,3363,3,5
827,2020-12-22,168,2,2
828,2020-10-22,6104,1,6
829,2021-07-24,1623,3,5
830,2022-01-08,16221,1,1
831,2022-01-16,6337,2,1
833,2022-01-23,7814,0,1
834,2020-09-22,8343,3,4
835,2021-03-09,3445,2,3
836,2022-01-30,6254,2,2
837,2022-01-11,6077,0,6
838,2021-02-15,15224,2,1
840,2021-12-04,9919,0,4
841,2020-09-14,7166,3,1
842,2021-03-16,2879,3,2
843,2020-12-28,14217,2,1
844,2021-10-04,14104,0,6
845,2021-02-13,5599,3,2
846,2022-01-30,15165,2,1
847,2020-09-01,11426,2,2
848,2021-08-24,10040,2,1
849,2021-02-24,12525,3,3
850,2021-02-26,1763,0,2
851,2021-08-07,11280,0,1
852,2021-03-18,1626,1,7
853,2020-12-05,15340,1,6
854,2021-09-16,3598,2,7
855,2020-12-01,13535,2,2
856,2022-03-17,13876,0,7
857,2021-08-12,5416,2,4
858,2021-10-04,4097,1,3
859,2022-01-23,207,3,3
860,2021-04-11,11310,1,2
861,2020-11-19,1113,1,3
862,2021-12-09,13951,3,5
863,2021-08-05,3656,2,4
864,2021-05-17,7439,3,2
865,2020-09-13,3140,3,3
866,2021-03-15,5617,3,5
867,2020-08-09,6912,2,3
868,2021-04-04,319,2,5
869,2021-01-06,5301,3,5
870,2021-02-11,8637,3,2
871,2022-02-20,13726,3,4
872,2021-05-25,9661,3,3
873,2021-01-01,7303,3,2
874,2021-03-05,6728,1,6
875,2021-08-17,15591,3,9
876,2020-09-05,3246,0,2
877,2021-09-26,10604,2,2
878,2021-12-07,10441,1,1
879,2021-01-29,13006,0,5
880,2021-03-08,12390,3,5
881,2021-05-09,713,3,2
882,2020-10-24,16194,1,3
883,2021-02-20,11006,2,4
884,2020-11-29,15553,3,6
885,2022-01-31,4609,0,2
886,2021-08-09,15813,2,7
887,2021-02-04,2876,3,8
888,2021-10-01,10441,1,1
889,2020-10-22,9874,1,2
890,2021-02-08,6765,1,10
891,2020-09-15,6689,3,2
892,2021-04-02,15531,3,1
893,2021-01-27,319,2,5
894,2021-12-29,11553,1,1
895,2021-03-23,9736,3,1
896,2021-07-12,5728,3,1
897,2020-12-13,15308,1,4
898,2021-02-22,7365,3,3
